Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
E0,18/08/12,Arsenal,Sunderland,0,0,D,0,0,D,14,3,4,2,12,8,7,0,0,0,0,0,1.4,4.5,8.5,1.35,4.6,9,1.35,4.6,9,1.35,4.5,7.3,1.4,4.5,8,1.44,4.76,8.78,1.44,4,8,1.36,4.5,9.5,1.44,4.75,8.5,1.4,4.33,8.5,39,1.44,1.4,4.89,4.47,9.5,8.37,33,1.83,1.76,2.15,2.05,23,-1.25,2.02,1.96,1.96,1.91
E0,18/08/12,Fulham,Norwich,5,0,H,2,0,H,11,4,9,2,12,11,6,3,0,0,0,0,1.8,3.6,4.5,1.8,3.5,4.4,1.8,3.5,4.4,1.8,3.4,4,1.8,3.5,4.5,1.82,3.81,4.8,1.85,3.3,4.5,1.8,3.6,4.5,1.83,3.75,4.75,1.83,3.5,4.33,39,1.85,1.8,3.82,3.59,4.8,4.44,35,1.95,1.89,2.01,1.92,21,-0.5,1.83,1.8,2.14,2.09
E0,18/08/12,Newcastle,Tottenham,2,1,H,0,0,D,6,12,4,6,12,8,3,5,2,2,0,0,2.5,3.4,2.75,2.6,3.3,2.75,2.6,3.3,2.75,2.4,3.2,2.7,2.6,3.3,2.7,2.65,3.47,2.82,2.7,3,2.8,2.5,3.4,2.8,2.62,3.4,2.75,2.5,3.4,2.7,39,2.7,2.55,3.47,3.32,2.85,2.73,35,2,1.88,2.01,1.92,23,0,1.93,1.88,2.03,1.97
E0,18/08/12,QPR,Swansea,0,5,A,0,1,A,20,12,11,8,11,14,5,3,2,2,0,0,2,3.4,3.8,2,3.4,3.6,2,3.4,3.6,2.1,3.3,3.1,2,3.4,3.75,2.05,3.53,4.01,2,3.3,3.8,2.1,3.3,3.6,2,3.5,4,2,3.4,3.6,39,2.1,2.01,3.55,3.37,4.2,3.76,33,2.18,2.09,1.81,1.73,22,-0.25,1.8,1.75,2.21,2.13
E0,18/08/12,Reading,Stoke,1,1,D,0,1,A,9,6,3,3,9,14,4,3,2,4,0,1,2.38,3.25,3.1,2.4,3.2,3.1,2.4,3.2,3.1,2.4,3.2,2.7,2.4,3.3,2.88,2.4,3.37,3.26,2.4,3.3,2.9,2.4,3.2,3,2.4,3.3,3.25,2.3,3.3,3.1,39,2.45,2.36,3.4,3.27,3.26,3.03,33,2.28,2.18,1.76,1.67,24,-0.25,2.07,2.01,1.91,1.86
E0,18/08/12,West Brom,Liverpool,3,0,H,1,0,H,15,14,10,7,10,11,7,3,1,4,0,1,4.2,3.5,1.91,4.1,3.5,1.85,4.1,3.5,1.85,3.3,3.3,2,3.75,3.5,1.95,4.39,3.59,1.94,3.8,3.3,2,4,3.4,1.91,4.33,3.6,1.95,4,3.4,1.91,39,4.38,4.01,3.61,3.44,2,1.93,33,2.18,2.08,1.81,1.74,22,0.5,2,1.96,1.97,1.92
E0,18/08/12,West Ham,Aston Villa,1,0,H,1,0,H,8,10,4,6,17,8,6,4,0,1,0,0,2.2,3.3,3.4,2.25,3.3,3.3,2.25,3.3,3.3,2.15,3.3,3,2.25,3.3,3.1,2.26,3.49,3.43,2.3,3.2,3.2,2.25,3.3,3.3,2.25,3.4,3.4,2.3,3.3,3.1,39,2.3,2.23,3.46,3.32,3.51,3.23,33,2.1,2.03,1.85,1.77,25,-0.25,1.95,1.9,2.04,1.97
E0,19/08/12,Man City,Southampton,3,2,H,1,0,H,20,9,15,6,4,6,7,3,1,2,0,0,1.17,7,17,1.18,6.25,16,1.18,6.25,16,1.17,5.8,13,1.17,7,15,1.2,7.5,19.75,1.2,6,15,1.17,7,19,1.2,7,19,1.17,6.5,17,39,1.21,1.18,7.55,6.78,19.38,15.6,26,1.56,1.5,2.68,2.51,24,-1.75,1.9,1.85,2.08,2.02
E0,19/08/12,Wigan,Chelsea,0,2,A,0,2,A,12,5,4,3,16,11,7,1,2,2,0,0,6,3.75,1.62,6,3.9,1.55,6,3.9,1.55,5.5,3.9,1.5,6.5,3.8,1.53,6.05,4.02,1.65,5.5,3.6,1.67,6.5,4,1.53,6.5,3.8,1.65,6,4,1.53,39,6.75,6.09,4,3.84,1.67,1.58,35,1.93,1.88,2.05,1.93,24,1,1.9,1.8,2.16,2.09
E0,20/08/12,Everton,Man United,1,0,H,0,0,D,16,12,7,7,12,11,6,8,1,2,0,0,4.33,3.6,1.83,4.6,3.5,1.83,4.6,3.5,1.83,3.8,3.4,1.85,4,3.6,1.85,4.27,3.77,1.92,4.33,3.3,1.91,4,3.5,1.91,4.3,3.7,1.87,4,3.4,1.91,36,4.45,4.18,3.71,3.47,1.91,1.88,32,2.08,1.97,1.9,1.83,20,0.5,2.03,1.99,1.91,1.88
E0,22/08/12,Chelsea,Reading,4,2,H,1,2,A,23,7,11,5,11,14,1,5,0,2,0,0,1.25,5.5,13,1.25,5.25,12.5,1.25,5.25,12.5,1.25,5,10,1.25,6,11,1.27,6.15,13.8,1.29,5.5,10,1.27,5.5,12,1.25,6,13,1.25,5.5,13,38,1.29,1.25,6.2,5.56,14,11.84,23,1.65,1.58,2.45,2.31,22,-1.5,1.88,1.85,2.1,2.03
E0,25/08/12,Aston Villa,Everton,1,3,A,0,3,A,7,19,3,11,10,7,1,9,1,0,1,0,2.9,3.4,2.4,2.95,3.3,2.45,2.95,3.3,2.45,2.5,3.2,2.6,2.75,3.3,2.5,3.14,3.36,2.47,2.88,3.2,2.5,2.88,3.25,2.5,3.1,3.3,2.45,2.75,3.3,2.5,38,3.25,2.93,3.4,3.29,2.6,2.42,31,2.34,2.19,1.73,1.66,21,0,2.33,2.2,1.85,1.7
E0,25/08/12,Chelsea,Newcastle,2,0,H,2,0,H,11,11,6,5,8,10,2,3,1,0,0,0,1.5,4.33,6.5,1.5,4.33,6.5,1.5,4.33,6.5,1.53,3.8,5.5,1.5,4,6.5,1.51,4.5,7.27,1.5,4.2,6.5,1.5,4.33,6.5,1.5,4.4,7,1.5,4,6.5,38,1.53,1.5,4.55,4.16,7,6.55,29,1.72,1.65,2.36,2.19,25,-1,1.92,1.85,2.08,2.02
E0,25/08/12,Man United,Fulham,3,2,H,3,1,H,20,14,11,11,12,7,8,8,0,1,0,0,1.29,5.5,11,1.28,5.25,10,1.28,5.25,10,1.25,5,10,,,,1.32,5.6,11.85,1.35,4.8,9,1.3,5.25,11,1.3,5.5,11.5,1.3,5,10,38,1.33,1.3,5.52,5.17,12,10.39,26,1.68,1.62,2.38,2.23,24,-1.5,2.02,1.97,1.95,1.9
E0,25/08/12,Norwich,QPR,1,1,D,1,1,D,13,6,4,4,15,14,6,2,0,2,0,0,2.25,3.4,3.2,2.25,3.3,3.1,2.25,3.3,3.1,2.1,3.2,3.2,2.38,3.4,2.88,2.34,3.5,3.25,2.38,3.4,2.9,2.25,3.4,3.2,2.3,3.4,3.2,2.25,3.25,3.2,38,2.38,2.29,3.52,3.33,3.25,3.11,34,1.85,1.8,2.13,2,24,-0.25,2.05,2,1.9,1.87
E0,25/08/12,Southampton,Wigan,0,2,A,0,0,D,14,12,9,8,11,9,10,3,0,0,0,0,2.1,3.4,3.5,2.05,3.4,3.5,2.05,3.4,3.5,2.1,3.2,3.2,2.1,3.3,3.5,2.2,3.51,3.56,2.15,3.5,3.25,2.05,3.5,3.6,2.15,3.5,3.6,2.1,3.5,3.3,38,2.2,2.12,3.53,3.36,3.65,3.46,34,2,1.92,1.97,1.88,19,-0.5,2.2,2.13,1.82,1.77
E0,25/08/12,Swansea,West Ham,3,0,H,2,0,H,10,7,7,6,13,17,5,4,2,4,0,0,2.1,3.3,3.6,2,3.3,3.75,2,3.3,3.75,2.1,3.2,3.2,2.1,3.25,3.5,2.13,3.43,3.85,2.1,3.4,3.5,2.05,3.3,3.75,2.1,3.4,3.8,2.1,3.25,3.5,38,2.15,2.09,3.47,3.31,3.85,3.6,35,2.06,1.99,1.9,1.81,21,-0.5,2.14,2.09,1.83,1.8
E0,25/08/12,Tottenham,West Brom,1,1,D,0,0,D,18,10,10,5,8,7,7,5,1,2,0,0,1.5,4.33,6.5,1.45,4.2,7,1.45,4.2,7,1.45,3.9,6.5,1.5,4,6.5,1.51,4.52,7.35,1.55,4,6,1.5,4.33,6.5,1.5,4.4,7,1.53,4,6,38,1.54,1.5,4.53,4.13,7.5,6.67,28,1.72,1.65,2.3,2.19,25,-1,1.91,1.84,2.09,2.03
E0,26/08/12,Liverpool,Man City,2,2,D,1,0,H,15,11,8,5,10,7,4,4,1,0,0,0,3.1,3.4,2.3,3,3.5,2.35,3,3.5,2.35,2.75,3.2,2.35,3.1,3.3,2.25,3.14,3.46,2.42,2.9,3.4,2.38,3,3.3,2.38,3.1,3.4,2.4,3,3.4,2.3,33,3.15,2.98,3.45,3.33,2.48,2.36,33,2.03,1.94,1.92,1.85,22,0.25,1.87,1.83,2.13,2.04
E0,26/08/12,Stoke,Arsenal,0,0,D,0,0,D,7,16,4,6,9,9,0,11,2,0,0,0,3.5,3.4,2.1,3.7,3.3,2.1,3.7,3.3,2.1,3.2,3.2,2.1,3.75,3.3,2,3.57,3.46,2.21,3.3,3.3,2.2,3.6,3.4,2.05,3.6,3.4,2.2,3.5,3.25,2.1,35,3.65,3.44,3.44,3.32,2.24,2.14,35,2.16,2.03,1.83,1.77,24,0.25,2.05,2,1.93,1.87
